start.1,salesman.7,Venta,client.168,end.1,Pago ya Efectuado,Terminada
start.1,salesman.14,Prestamo,client.290,end.1,Pago Posterior,Terminada
start.1,salesman.7,Venta,client.168,end.1,Pago ya Efectuado,Terminada
start.1,salesman.5,Venta,client.38,end.1,Pago Posterior,Terminada
start.1,salesman.4,Retiro,client.4,end.1,Pago Posterior,Terminada
start.1,salesman.4,Venta,client.27,end.1,Pago Posterior,Terminada
start.1,salesman.4,Prestamo,client.156,end.1,Pago Posterior,Terminada
start.1,salesman.15,Venta,client.268,end.1,Pago Posterior,Terminada
start.1,salesman.4,Venta,client.4,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.10,end.1,Pago Posterior,Terminada
start.1,salesman.7,Venta,client.3,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Retiro,client.78,end.1,Pago Contra Entrega,Terminada
start.1,salesman.4,Prestamo,client.291,end.1,Pago Posterior,Terminada
start.1,salesman.5,Soporte,client.183,end.1,Pago ya Efectuado,Terminada
start.1,salesman.7,Venta,client.168,end.1,Pago ya Efectuado,Terminada
start.1,salesman.5,Venta,client.292,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.293,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.294,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.295,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.296,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.297,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.298,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.299,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.300,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.301,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.302,end.1,Pago Posterior,Terminada
start.1,salesman.15,Prestamo,client.274,end.1,Pago Posterior,Terminada
start.1,salesman.7,Venta,client.283,end.1,Pago Posterior,Terminada
start.1,salesman.17,Venta,client.30,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Venta,client.168,end.1,Pago ya Efectuado,Terminada
start.1,salesman.5,Venta,client.80,end.1,Pago Posterior,Terminada
start.1,salesman.7,Retiro,client.235,end.1,Pago Contra Entrega,Terminada
start.1,salesman.5,Venta,client.94,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.303,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Venta,client.279,end.1,Pago Posterior,Terminada
start.1,salesman.5,Retiro,client.243,end.1,Pago Posterior,Terminada
start.1,salesman.5,Prestamo,client.80,end.1,Pago Posterior,Terminada
start.1,salesman.16,Prestamo,client.156,end.1,Pago ya Efectuado,Terminada
start.1,salesman.7,Venta,client.45,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Prestamo,client.78,end.1,Pago Posterior,Terminada
start.1,salesman.7,Venta,client.168,end.1,Pago Contra Entrega,Terminada
start.1,salesman.14,Venta,client.242,end.1,Pago Posterior,Anulada
start.1,salesman.4,Soporte,client.199,end.1,Pago Posterior,Terminada
start.1,salesman.14,Venta,client.242,end.1,Pago Posterior,Anulada
start.1,salesman.5,Soporte,client.183,end.1,Pago ya Efectuado,Terminada
start.1,salesman.15,Venta,client.304,end.1,Pago Posterior,Terminada
start.1,salesman.7,Venta,client.3,end.1,Pago Contra Entrega,Anulada
start.1,salesman.14,Retiro,client.238,end.1,Pago Contra Entrega,Terminada
start.1,salesman.17,Venta,client.30,end.1,Pago Contra Entrega,Terminada
start.1,salesman.14,Venta,client.242,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Retiro,client.80,end.1,Pago Contra Entrega,Terminada
start.1,salesman.17,Prestamo,client.106,end.1,Pago Posterior,Anulada
start.1,salesman.14,Soporte,client.49,end.1,Pago ya Efectuado,Terminada
start.1,salesman.4,Prestamo,client.305,end.1,Pago Posterior,Terminada
start.1,salesman.4,Retiro,client.116,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Retiro,client.78,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Retiro,client.117,end.1,Pago Contra Entrega,Terminada
start.1,salesman.5,Venta,client.78,end.1,Pago Posterior,Terminada
start.1,salesman.7,Retiro,client.252,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Retiro,client.78,end.1,Pago Contra Entrega,Terminada
start.1,salesman.5,Venta,client.40,end.1,Pago Posterior,Terminada
start.1,salesman.14,Prestamo,client.306,end.1,Pago Posterior,Terminada
start.1,salesman.7,Retiro,client.84,end.1,Pago Contra Entrega,Terminada
start.1,salesman.7,Retiro,client.41,end.1,Pago Contra Entrega,Terminada
start.1,salesman.5,Venta,client.307,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.38,end.1,Pago Posterior,Terminada
start.1,salesman.4,Venta,client.230,end.1,Pago Posterior,Terminada
start.1,salesman.4,Soporte,client.199,end.1,Pago Posterior,Terminada
start.1,salesman.5,Venta,client.38,end.1,Pago Posterior,Terminada
start.1,salesman.7,Venta,client.3,end.1,Pago Contra Entrega,Terminada
start.1,salesman.5,Venta,client.111,end.1,Pago Contra Entrega,Terminada
start.1,salesman.4,Venta,client.4,end.1,Pago Posterior,Terminada
start.1,salesman.18,Prestamo,client.308,end.1,Pago Posterior,Terminada
start.1,salesman.7,Venta,client.168,end.1,Pago ya Efectuado,Terminada
start.1,salesman.7,Venta,client.168,end.1,Pago ya Efectuado,Terminada
start.1,salesman.7,Venta,client.195,end.1,Pago ya Efectuado,Terminada
start.1,salesman.7,Venta,client.170,end.1,Pago Contra Entrega,Terminada
start.1,salesman.5,Arriendo,client.277,end.1,Pago Posterior,Terminada
